,Total,Remain,Leave
Belfast East,42665,20728,21918
Belfast North,39998,20128,19844
Belfast South,44583,30960,13596
Belfast West,31209,23099,8092
East Antrim,41564,18616,22929
East Londonderry,40563,21098,19455
Fermanagh & South Tyrone,48187,28200,19958
Foyle,40987,32064,8905
Lagan Valley,48425,22710,25704
Mid Ulster,42431,25612,16799
Newry & Armagh,50644,31963,18659
North Antrim,49740,18782,30938
North Down,44211,23131,21046
South Antrim,43563,21498,22055
South Down,47724,32076,15625
Strangford,42123,18727,23383
Upper Bann,51845,24550,27262
West Tyrone,40061,26765,13274
